Date,DateTime,environment,position_group,target,algo,Evaluation_WinShare,Evaluation_RMSE,Evaluation_R2,test_RMSE,test_R2,test_MAE,train_RMSE,train_R2,train_MAE,n_trees,learning_rate,max_depth,colsample_bytree,min_child_weight,subsample,seed,knn,pt_min,pt_keep_thres,pt_drop,start_year,eval_split_method,prod_split_method
2020-07-10,2020-07-10 20:35:29.733337,prod,SP,OBP,xgb,0.0,0.0,0.0,0.027284281633685167,0.04960419848346298,0.021806513654558282,0.018455853684517846,0.6086542494694691,0.014780865605040631,300,0.21811748769689893,2,0.8319286317467763,7,0.7849028435337713,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 20:36:03.214058,eval,SP,SLG,xgb,0.0,0.0,0.0,0.04851216779731001,0.06594419107192484,0.03740374340822822,0.04646008498201287,0.2518881318122005,0.03740394557917092,750,0.5867361195030251,1,0.5006452406226691,2,0.8575462375919005,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 20:36:39.144216,prod,SP,SLG,xgb,0.0,0.0,0.0,0.04889660244207719,0.051081685122875135,0.03799058439229664,0.04558882050203189,0.27968367609112565,0.03678597204890472,450,0.303276877449883,1,0.9427877047076132,6,0.729939625952918,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 20:46:16.858839,eval,RP,SV_per_G,xgb,0.2256809338521401,9.501542761380364,-0.2180001254767805,0.1088893059804374,0.4214043792237538,0.0677458010374314,0.03305180581108591,0.9625778040763322,0.023330254504801168,800,0.052821405218397184,5,0.4746661517792535,4,0.9056988013972084,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 20:47:11.909387,prod,RP,SV_per_G,xgb,0.0,0.0,0.0,0.10913090213125398,0.4188340340840237,0.06626935134014178,0.03513736454377,0.9577061469498528,0.024197128682902167,350,0.30174027989024554,7,0.7280168828348573,7,0.9505863281533182,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 20:48:35.248069,eval,RP,HLD_per_G,xgb,0.0,0.0,0.0,0.10280603911963716,0.19578224712666514,0.08404073016621967,0.04641327640072083,0.8443423319380636,0.03322975526002586,950,0.023972109965801625,6,0.5464719722170821,5,0.7657454973144526,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 20:49:17.243141,prod,RP,HLD_per_G,xgb,0.0,0.0,0.0,0.10244208472739603,0.20146635828534296,0.0830647036443696,0.03923039651952144,0.8887931700167149,0.02380484243244263,400,0.011142250169333793,11,0.6211420106641956,7,0.8080227761926205,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 20:51:21.662264,eval,RP,WAR_per_G,xgb,0.3313253012048193,0.6528761168343434,0.04652726738746782,0.012617122003428058,0.11662542024667588,0.00942044815994209,0.014109060103919463,0.2594768863265869,0.010069775446881963,450,0.1363803031473987,1,0.9061016364117066,6,0.8426110531585923,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 20:51:58.939750,prod,RP,WAR_per_G,xgb,0.0,0.0,0.0,0.012675748427979151,0.10839701219422816,0.009473160716292844,0.013779628341029108,0.2936540495421104,0.009819075932539572,850,0.07864321056235213,1,0.8147972714300126,7,0.9992856020877348,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:23:48.230917,eval,RP,ERA,xgb,0.26848249027237353,2.096088785781613,-0.2455806924809513,1.1012786054699006,0.1055829634229688,0.862761523043636,0.6070950200878915,0.7931183741092591,0.4349206566515352,650,0.06530320822147563,6,0.4848791342673153,2,0.9368066669084172,123,5,30,40,30,2014,random,random
